,vaga,empresa,localização,salário,dataPostagem,dataRaspagem,requisitos,job_url
11,Kroll,Kroll,"São Paulo, SP",,Postedhá 16 dias,2022-05-01,"Tecnologia da Informação, Análise de Sistemas, Banco de Dados Data Science, Big Data & BI, Tecnologia em Banco de Dados, ou áreas correlatas.",
12,Vagas de emprego: BCF SOLUTIONS,BCF SOLUTIONS,"São Paulo, SP",,EmployerAtiva 12 dias atrás,2022-05-01,"Experiência com Python, Flask, Django, Docker e SQL.Compreensão da arquitetura e dos princípios de IoT.Python por 3 anos (Preferencial).",
13,IBM,IBM,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…",
14,Vagas de emprego: Revelo Network,Revelo Network,"Home office in São Paulo, SP",,EmployerAtiva 3 dias atrás,2022-05-01,"Estamos em busca de um profissional de Software de Engineer Requisitos Técnicos Python, Aws, Postgresql Requisitos técnicos obrigatórios: Inglês Fluente +4…",
15,Vagas de emprego: Capim,Capim,"Home office in São Paulo, SP",R$ 5.000 - R$ 10.000 por mês,EmployerAtiva 8 dias atrás,2022-05-01,Somos uma fintech que está transformando os serviços financeiros no setor de saúde no Brasil.Identificar desafios e oportunidades de negócio e usar ferramentas…,
16,Vagas de emprego: Orangefox,Orangefox,"Home office in São Paulo, SP",,Postedhá 5 dias,2022-05-01,"Experiência comprovada com o mínimo de 2 (dois) anos atuando em projetos;Sólidos conhecimentos em Python, SQL, Github e Excel;",
17,Remessa Online,Remessa Online,"Home office in São Paulo, SP",,Postedhá 12 dias,2022-05-01,"Como será o dia a dia.Desenvolver decisores no produto, compliance, e CRM por meio de modelagem estatística aplicada (Sistemas de detecção de fraude, Score de…",
18,CCEE,CCEE,"Home office in São Paulo, SP",,Postedhá 16 dias,2022-05-01,Pessoas com deficiência são bem-vindas em nosso time.Será responsável por atender os chamados internos e externos de 1º nível e 2º(presencial ou remoto) de…,
19,Vagas de emprego: Enext,Enext,"Home office in São Paulo, SP",,Postedhá 2 dias,2022-05-01,"Configurar serviços (VM, banco de dados, lambda) simples em diferentes clouds como AWS, Azure e Google Cloud Platform;",
20,Gympass,Gympass,"São Paulo, SP",,Postedhá 16 dias,2022-05-01,"Execution of daily work, involving the execution of Python scripts, creation, and maintenance of SQL queries, editing Partners profiles on the CRM/Salesforce.",
21,Vagas de emprego: 2RP Net,2RP Net,"Home office in São Paulo, SP",,Postedhá 30 dias,2022-05-01,Desenvolver processos de ML Engineering;Aprender a monitor a qualidade de modelos de ML usando técnicas estatísticas avançadas;,
22,Luizalabs,Luizalabs,"São Paulo, SP",,Postedhá 2 dias,2022-05-01,Aplicar e difundir as boas práticas de segurança no projeto;Conhecimento nas linguagens Java e/ou Python e/ou NodeJS;Versionamento de projetos com GIT;,
23,Vagas de emprego: Safira Energia,Safira Energia,"Home office in Barueri, SP",,Postedhá 17 dias,2022-05-01,"Aqui contamos com uma galera visionária e destemida, que vive num movimento constante para sempre fazer mais e melhor, trazendo soluções inteligentes para o…",
24,Buonny,Buonny,"São Paulo, SP",,Postedhá 11 dias,2022-05-01,"Estruturação de base de dados para análise comerciais;Conhecimento de Big Data (Spark, Cloudera, Hadoop) e Python;Modelagem de dados SQL/Teradata, Big Data;",
25,Vagas de emprego: BANCO BBC Digital,BANCO BBC Digital,"São Paulo, SP",,Postedhá 1 dia,2022-05-01,Desejável experiência em construção de Dashboards em PowerBI.,
26,Vagas de emprego: R&SSOUZA,R&SSOUZA,"Home office in São Paulo, SP",R$ 7.000 - R$ 10.000 por mês,EmployerAtiva 3 dias atrás,2022-05-01,"Experiência de 05 anos na ou mais.Experiências em Python e seus frameworks como Django, Flask, FastAPI e afins / Bancos de dados relacionais como Postgres,…",
27,MetLife,MetLife,"São Paulo, SP",,Postedhá 18 dias,2022-05-01,"Elaboração dos indicadores da área;Principais responsabilidades ou desafios: (Escreva no mínimo 5).Acompanhamento de sinistros da carteira de Vida, AP e…",
28,Vagas de emprego: Clearsale,Clearsale,"Home office in São Paulo, SP",,Postedhá 26 dias,2022-05-01,Tem segurança na tomada de decisões que podem gerar grandes impactos;Sabe trabalhar em equipe (acreditamos muito “nós” ao invés de “eu”);,
29,Wipro Limited,Wipro Limited,"São Paulo, SP",,Postedhá 24 dias,2022-05-01,Experience in testing distributed Cloud based applications.Understand existing test cases and develop new ones.Good understanding of CI/CD pipeline.,
30,Vagas de emprego: Flix,Flix,"São Paulo, SP",,Postedhá 16 dias,2022-05-01,"Conhecimento em linguagens de programação de análise de dados (R, Python, Hadoop e SQL);Visualização de Dados; Data Mining, Machine Learning;",
31,Vagas de emprego: Shopee,Shopee,"São Paulo, SP",,Postedhá 25 dias,2022-05-01,Garantir que as métricas dos produtos andem alinhadas com os objetivos da empresa.,
32,Abril Comunicações,Abril Comunicações,"Home office in São Paulo, SP",R$ 5.000 - R$ 5.500 por mês,EmployerAtiva 2 dias atrás,2022-05-01,"Montagem de um data lake da empresa, incialmente voltado para área de assinaturas, e envolvendo a parte de audiência de sites, dados de assinaturas, assinantes…",
33,Clearsale,Clearsale,"Home office in São Paulo, SP",,Postedhá 16 dias,2022-05-01,"Gerir, criar e dar manutenção aos indicadores contratuais que temos com nossos clientes;Trabalho com grandes volumes de dados com extração e manipulação de…",
34,Experian,Experian,"São Paulo, SP",,Postedhá 5 dias,2022-05-01,"Portanto, acreditamos que trabalhar conectados como um time único e em um ambiente dinâmico e desafiador é extremamente importante para o crescimento pessoal e…",
35,WMS,WMS,"Home office in São Paulo, SP",R$ 1.403 por mês,Postedhá 23 dias,2022-05-01,"Devido à evolução tecnológica do marketing, o mercado de publicidade gera cada vez mais dados, o que torna a área responsável pela extração, tratamento e…",
36,vagas de emprego: Barueri,,"Barueri, SP",R$ 3.500 por mês,Postedhá 11 dias,2022-05-01,"Estamos na vanguarda das tecnologias de engenharia do futuro, com soluções que garantem o sucesso de nossos clientes em setores-chave que estão moldando o…",
37,CAPCO,CAPCO,"São Paulo, SP",,Postedhá 3 dias,2022-05-01,"Expertise técnica em modelos de dados, desenvolvimento de design de banco de dados, mineração de dados e técnicas de segmentação;",
38,Vagas de emprego: Luby Software,Luby Software,"São Paulo, SP",,Postedhá 10 dias,2022-05-01,"4+ anos em desenvolvimento de softwares ou experiência comprovada em grandes projetos.Conhecimentos em ferramentas da suíte Apache (Airflow, Solr, FluentD).",
39,Vagas de emprego: Cescon Barrieu,Cescon Barrieu,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Aqui você encontra um ambiente amigável e muitas oportunidades para trabalhar em operações e nos casos mais interessantes e relevantes do Brasil.,
40,Gympass,Gympass,"São Paulo, SP",,Postedhá 23 dias,2022-05-01,Definition and execution of a continuous improvement process for the project.Monitor metrics and expose insights into how the project is doing over the weeks…,
41,Vagas de emprego: SpeedJob,SpeedJob,"São Paulo, SP",R$ 1.950 por mês,Postedhá 2 dias,2022-05-01,. Irá dar suporte aos clientes internacionais;. Possuir conhecimento mínimo sobre mercado financeiro.,
42,Itaú Unibanco,Itaú Unibanco,"São Paulo, SP",,Postedhá 17 dias,2022-05-01,"Analisar e acompanhar o Ciclo de Concessão de Acessos de maneira a garantir a sua efetividade, conclusão nos prazos pré-estabelecidos e retroalimentação ao…",
43,Vagas de emprego: IFT-UNESP,IFT-UNESP,"São Paulo, SP",R$ 8.468 por mês,EmployerAtiva 3 dias atrás,2022-05-01,"A implantação será feita em colaboração com o instituto ICTP em Trieste, Itália (www.ictp.it).",
44,PayGo Pagamentos,PayGo Pagamentos,"Home office in São Paulo, SP",,Postedhá 11 dias,2022-05-01,Garantir a comunicação dos ambientes (On-Premises e Clouds) de forma segura e automatizada com transparência e baixa latência;,
45,Vagas de emprego: Centro de Excelência Votorantim BR,Centro de Excelência Votorantim BR,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Buscamos por cientistas de dados para integrar o time do Centro de Excelência Votorantim na área de Data Analytics.Banco de Dados e SQL;,
46,Vagas de emprego: Joyjet Digital,Joyjet Digital,"Home office in São Paulo, SP",R$ 6.000 - R$ 10.000 por mês,EmployerAtiva 7 dias atrás,2022-05-01,"Apoia no desenho de Soluções e Projetos de Cloud Transformation.Mínimo três (03) anos de experiência.Experiência em Amazon Web Services (API Gateway, Lambda,…",
47,Vagas de emprego: Vem Pra Vivo,Vem Pra Vivo,"Home office in São Paulo, SP",,Postedhá 25 dias,2022-05-01,"Para que o cliente tenha uma melhor experiência com os nossos serviços, temos o time de Engenharia e Serviços ao Cliente.Net, C#, Java e Java script;",
48,Vagas de emprego: Signifyd,Signifyd,"Home office in São Paulo, SP",,Postedhá 5 dias,2022-05-01,The Data Science team at Signifyd builds the models that power our fraud detection engine.Our machine learning pipeline keeps us one step ahead of fraudsters…,
49,Vagas de emprego: Juntos Somos Mais,Juntos Somos Mais,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Você fará parte do time de Tecnologia, da squad de Loyalty.Experiência com Docker e Kubernetes;Experiência atuando com meios de pagamento;",
50,Vagas de emprego: DATAB,DATAB,"São Caetano do Sul, SP",,Postedhá 1 dia,2022-05-01,"Como principal atividade, esse profissional ensinará e repassará essa paixão para outras pessoas por meio da produção de conteúdo técnico educacional sobre a…",
51,Vagas de emprego: Allcare Gestora de Saúde,Allcare Gestora de Saúde,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Criação de novas rotinas de ETL.,
52,Wipro Limited,Wipro Limited,"São Paulo, SP",,Postedhá 24 dias,2022-05-01,Experience in testing distributed Cloud based applications.Understand existing test cases and develop new ones.Good understanding of CI/CD pipeline.,
53,Vagas de emprego: ITAPEVA Recuperação de Créditos,ITAPEVA Recuperação de Créditos,"São Paulo, SP",R$ 3.500 por mês,Postedhá 22 dias,2022-05-01,"Formação Superior Completa em Ciência da Computação, Análise de Sistemas, Banco de Dados, Big Data ou áreas relacionadas a Tecnologia da Informação;",
54,Gympass,Gympass,"Home office in São Paulo, SP",,Postedhá 3 dias,2022-05-01,"Our team is responsible for providing our users with the tools they need to discover Gympass products and services that best fits their interests, such as gyms,…",
55,Vagas de emprego: Banco Master,Banco Master,"São Paulo, SP",,Postedhá 4 dias,2022-05-01,Boletar operações realizadas pela tesouraria;,
56,Vagas de emprego: Magroove Serviços Digitais,Magroove Serviços Digitais,"Home office in São Paulo, SP",R$ 999 - R$ 1.000 por mês,Contratações frequentes,2022-05-01,Nosso objetivo é ajudar artistas independentes a monetizar seu trabalho com uma plataforma web que concentra diversas ferramentas que eles vão precisar no…,
57,Vagas de emprego: Capim,Capim,"Home office in São Paulo, SP",R$ 8.000 - R$ 10.000 por mês,EmployerAtiva 2 dias atrás,2022-05-01,Somos uma fintech que está transformando os serviços financeiros no setor de saúde no Brasil.Definir técnicas e abordagens para os problemas de data science…,
58,Vagas de emprego: Instruct,Instruct,"Home office in São Paulo, SP",R$ 9.000 - R$ 12.000 por mês,Postedhá 30+ dias,2022-05-01,Buscamos profissional que tenha pelo menos 6 anos de experiência desenvolvendo software e consiga ensinar o time a partir dessas experiências.,
59,Vagas de emprego: RHTALENTOS.TEC,RHTALENTOS.TEC,"Home office in São Paulo, SP",R$ 8.000 - R$ 20.000 por mês,EmployerAtiva 2 dias atrás,2022-05-01,"Kanban, Scrum, Jira, Confluence, BDD - Behavior Driven Development, Gherking, SQL, Modelagem de dados relacional, Cloud-AWS, API, Json, Python, Postman, Swagger…",
60,Vagas de emprego: Lean Saúde,Lean Saúde,"Home office in Vila Mariana, SP",,Postedhá 11 dias,2022-05-01,Diferencial experiência em web scraping (RPA) utilizando python.Desenvolvimento e manutenção de modelos descritivos e preditivos utilizando técnicas de machine…,
61,C&A,C&A,"Home office in Barueri, SP",,Postedhá 12 dias,2022-05-01,"Validar e monitorar todos os modelos em produção, garantindo a performance dos modelos dentro dos parâmetros pré-estabelecidos e fazer os ajustes e retreinos…",
62,Vagas de emprego: Latinhire,Latinhire,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Estamos procurando alunos ou profissionais com conhecimento robusto em qualquer um dos assuntos listados abaixo e com um nível de inglês escrito alto o…,
63,Vagas de emprego: Bravi,Bravi,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Sempre temos mais o que aprender.,
64,Vagas de emprego: Safira Energia,Safira Energia,"Home office in Barueri, SP",,Postedhá 17 dias,2022-05-01,"Aqui contamos com uma galera visionária e destemida, que vive num movimento constante para sempre fazer mais e melhor, trazendo soluções inteligentes para o…",
65,Itaú,Itaú,"São Paulo, SP",,Postedhá 17 dias,2022-05-01,"Analisar e acompanhar o Ciclo de Concessão de Acessos de maneira a garantir a sua efetividade, conclusão nos prazos pré-estabelecidos e retroalimentação ao…",
66,Vagas de emprego: ITAPEVA Recuperação de Créditos,ITAPEVA Recuperação de Créditos,"São Paulo, SP",R$ 3.500 por mês,Postedhá 30+ dias,2022-05-01,"Recém formados em exatas (Ex.: Engenharia, Matemática, Física);",
67,Capgemini,Capgemini,"São Paulo, SP",,Postedhá 5 dias,2022-05-01,"Se você compartilha dos mesmos valores, aqui é o seu lugar.Conhecimentos em SPLUNK e Dynatrace;Conhecimentos em SQL, Python ou powershell;",
68,iugu,iugu,"Hybrid remote in São Paulo, SP",,Postedhá 2 dias,2022-05-01,Fazer parte de um time que faz a diferença.O que você vai encontrar na iugu.Saúde: Plano de saúde e odontológico Sulamérica (ambos sem desconto e sem copay…,
69,EY,EY,"São Paulo, SP",,Postedhá 4 dias,2022-05-01,"Desenvolver novos estudos baseados em diferentes tipos de dados;Otimizar e analisar códigos SQL e rotinas ETL;Big Data (Hive, Hadoop, HQL);",
70,Banco Bradesco SA,Banco Bradesco SA,"Osasco, SP",,Postedhá 30+ dias,2022-05-01,"Somos um dos mais modernos Bancos do mundo, referência em inovação e tecnologia.Prática na implementação de Projetos de TI em arquitetura ou desenvolvimento;",
71,Vagas de emprego: Canonical - Jobs,Canonical - Jobs,"São Paulo, SP",,Postedhá 29 dias,2022-05-01,You are a python programmer with interest or experience in golang.On the Kubernetes team you will gain experience with the latest features in Kubernetes and…,
72,Vagas de emprego: GoIT,GoIT,"Home office in São Paulo, SP",R$ 6.000 - R$ 12.529 por mês,EmployerAtiva 3 dias atrás,2022-05-01,"Licenciatura em um campo altamente quantitativo (Ciência de Dados, Ciência da Computação, Aprendizado de Máquina, Pesquisa Operacional, Estatística, Matemática,…",
73,Vagas de emprego: GeekHunter,GeekHunter,"Home office in São Paulo, SP",R$ 16.000 - R$ 18.000 por ano,Postedhá 30+ dias,2022-05-01,"No primeiro momento o profissional será treinado para atuar com PySpark;Usando o PySpark, escrever os códigos usando Python.",
74,Nubank,Nubank,"Home office in São Paulo, SP",,Postedhá 11 dias,2022-05-01,"O Nubank foi fundado em 2013 para libertar as pessoas de um sistema financeiro burocrático, lento e ineficiente.Possui habilidades em Scala, SQL ou Python.",
75,Analista de Dados,Avita,"São Paulo, SP",,Postedhá 2 dias,2022-05-01,Desenhar os processos de integração de dados considerando o uso de SQL.,
76,Eng. Software Backend Júnior | Remoto,Azos,"Home office in São Paulo, SP",,Postedhá 11 dias,2022-05-01,"Nós somos a Azos, viemos para proteger o sonho das famílias brasileiras.Criação e manutenção de Web-Api’s Rest;",
77,Analista de Business Intelligence Jr,TradersClub,"São Paulo, SP",,Postedhá 11 dias,2022-05-01,Manutenção das bases e informações do BigQuery para o Looker;Programação em R ou Python;,
78,JBS - Especialista de Energia Elétrica,JBS,"São Paulo, SP",,Postedhá 12 dias,2022-05-01,Relacionamento com todas concessionárias que atendem nossas unidades;Gestão de consumo das unidades no Ambiente de Contratação Livre;,
79,Data Engineer - AWS Data + Python,Wipro Limited,"São Paulo, SP",,Postedhá 23 dias,2022-05-01,Should be aware of data processing architecture like Lambda.MUST have AWS pipeline/warehouse experience.MUST have experience in pyspark programming of AWS…,
80,Estagiário Operacional - Gestão de Ativos,Brasol - Soluções Energèticas Inteligentes,"São Paulo, SP",,Postedhá 22 dias,2022-05-01,Monitoramento remoto da operação de usinas fotovoltaicas;Suporte ao time de gestão de ativos na execução de suas funções.,
81,Estágio - PYTHON - Renda Fixa,modalmais,"São Paulo, SP",,Postedhá 29 dias,2022-05-01,"O que nos move Antes de sermos uma empresa, antes de sermos um banco ou até mesmo antes de sermos uma instituição, nós somos um grupo de pessoas em constante…",
82,Desenvolvedor (a) Java/Python PL,Recrutamento Externo,"São Paulo, SP",,Postedhá 3 dias,2022-05-01,Programação em linguagem Java + Python;Definir e entender requisitos técnicos e funcionais;Análise e desenvolvimento de serviços customizados com tecnologia…,
83,Estágio - DevOps,2RP Net,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Trabalhar com Sistema Operacional Linux.Auxiliar na análise e validação de Pull Requests.Auxiliar no versionamento de códigos.,
84,Estágio - Administração de Sistemas,2RP Net,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Conhecimnto em Bash e Python;Familiarizado com Docker e Containers;Conhecimento no Azure, AWS, GCP e data centers locais;Saúde mental > Plataforma Moodar;",
85,Software Engineer (Remote),Talkdoc,"Home office in São Paulo, SP",R$ 120.000 - R$ 200.000 por ano,EmployerAtiva 4 dias atrás,2022-05-01,We’re looking for someone who thinks user-first and can build products that solve the care gaps in behavioral health.All employees will work remotely.,
86,ANALISTA DE PLANEJAMENTO E CONTROLE,Leroy Merlin,"São Paulo, SP",,Postedhá 10 dias,2022-05-01,"Preparar material de reporting (interna e externa) no âmbito de resultados e planejamento.Conhecimento em Ferramentas de BI/Analytics (SQL, Python, Qlik).",
87,ESPECIALISTA INFRAESTRUTURA CLOUD - 4250 DITI,Banco Bradesco SA,"Osasco, SP",,Postedhá 30+ dias,2022-05-01,"Somos um dos mais modernos Bancos do mundo, referência em inovação e tecnologia.Ferramentas de automação (Jenkins, Puppet, Chef, Ansible);",
88,ANALISTA DE BI,Petland,"São Paulo, SP",R$ 5.200 - R$ 6.000 por mês,Postedhá 30+ dias,2022-05-01,"Criar mecanismos inteligentes para garantir consistência dos dados utilizados;Familiaridade com ferramentas de business intelligence, como PowerBi, Falcon ou…",
89,Tech-Artist 3D (all levels),Afterverse,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"O PK XD também conta com uma rede de Creators, parceiros que desenvolvem conteúdos exclusivos sobre o jogo.Trabalhar com o time de arte e desenvolvimento para…",
90,Senior Consultant - Desenvolvedor Python,Provider It,"Home office in São Paulo, SP",,Postedhá 25 dias,2022-05-01,Desenvolvimento de API e recursos de Back-end em plataforma Python;Colaborar junto com o time de inovação nas atividades da área.,
91,Desenvolvedor Back-End (Python Flask),Keyrus Brazil,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,O profissional será responsável pelo aplicativos web do lado servidor.Executar testes de UI para otimizar o desempenho.Banco de dados SQL e No-SQL (mongobd).,
92,Analista de B.I,nstech,"São Paulo, SP",,Postedhá 1 dia,2022-05-01,"Estruturação de base de dados para análise comerciais;Conhecimento de Big Data (Spark, Cloudera, Hadoop) e Python;Modelagem de dados SQL/Teradata, Big Data;",
93,QA (Selenium/Python) – E-learning (ID:1054),Truelogic Software,"São Paulo, SP",,Postedhá 17 dias,2022-05-01,"Reaching more than 34 thousand clients and 31 million users worldwide, our customers rely on us to help them prepare for the changes that come with new…",
94,Analista de Antifraude - Regras e Chargeback,Zé Delivery,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Somos uma empresa brasileira de tecnologia com 6 anos, já consolidada como o maior delivery de bebidas do mundo, presente em todos os estados do Brasil e…",
95,Desenvolvedor de Sistemas III - Berrini SP,Atento Brasil,"São Paulo, SP",R$ 6.500 por mês,Postedhá 1 dia,2022-05-01,"Atuar junto com a equipe desenvolvendo em nossos sistemas na linguagem SQL Server, Python, PHP.Implementar interfaces garantindo a utilização de boas práticas…",
96,Analista de Analytics,Shopee,"São Paulo, SP",,Postedhá 16 dias,2022-05-01,Criar modelo de dados e executar iniciativas de Data Science junto ao time de BI.Contribuir com ideias criativas e inovadoras no intuito de estabelecer o…,
97,Estágio - Backend,2RP Net,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Acompanhará o Desenvolvimento de funcionalidades e executará manutenções usando práticas de testes e qualidade de software;Linguagens JAVA ou C# ou Python;,
98,ANALISTA DE INFORMAÇÕES GERENCIAIS II,Orizon Brasil,"Home office in Barueri, SP",,Postedhá 5 dias,2022-05-01,"Desenvolver as atividades referentes à extração e transformação de dados em SQL.Imprescindível experiência com análise SQL, Big Data e Dashboards (PowerBi).",
99,Gerente Analytics em Finanças,Itaú Unibanco,"São Paulo, SP",,Postedhá 17 dias,2022-05-01,"O time faz a atuação no Planejamento Financeiro do Banco de Varejo, aproximadamente metade do resultado do Banco, com participação ativa como parceiro dos…",
100,Desenvolvedora de Software Back-end [Vaga Afirmativa para Mu...,Donus,"Home office in São Paulo, SP",,Postedhá 26 dias,2022-05-01,"Trabalhar em squad multidisciplinar (Engenheiros(as), Product Manager, Product Designer, Tech Lead, Analista de Dados e Customer Experience) com o objetivo de…",
101,Analista de Dados Jr,PagBank PagSeguro,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Superior em Engenharia, Administração, Economia ou áreas correlatas.Conhecimento técnico em linguagem SQL.Pacote Office avançado, com foco em Excel.",
102,Tech Lead (Python),Mercado Bitcoin,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Gerir o time rumo ao protagonismo de suas carreiras.,
103,Especialista de Engajamento e Rentabilidade de Clientes,PicPay,"São Paulo, SP",,Postedhá 1 dia,2022-05-01,Propor ações para aumentar o engajamento dos clientes de maneira otimizada utilizando os modelos construídos.Conhecimento em modelagem estatística e algoritmos…,
104,Desenvolvedor Júnior,Expeditors,"Itaim Bibi, SP",,Postedhá 30+ dias,2022-05-01,Melhoria de processos que aceleram os negócios da Expeditors.Conhecimento essencial em Linguagens de banco de dados – SQL ou PostgreSQL.,
105,Vagas de emprego: Veri Soluções Tecnológicas Ltda,Veri Soluções Tecnológicas Ltda,"São Paulo, SP",R$ 7.500 por mês,EmployerAtiva 3 dias atrás,2022-05-01,Scrapyng em python usando a biblioteca requests.Scrapyng em python usando a biblioteca selenium webdriver.,
106,Vagas de emprego: FS Gestão RH,FS Gestão RH,"São Paulo, SP",R$ 12.000 - R$ 14.000 por mês,EmployerAtiva 18 dias atrás,2022-05-01,"Ter conhecimento em ferramentas de dados (Kafka, airflow, etc);Experiência com a Stack da Azure (microsoft), pois é onde estão centralizadas as soluções da…",
107,Accenture,Accenture,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Aplicar a aprendizagem machine-learning, estatística e engenharia para resolver problemas;Experiência com R ou Python;",
108,Vagas de emprego: GeekHunter,GeekHunter,"Home office in São Paulo, SP",R$ 6.000 - R$ 8.000 por mês,Postedhá 30+ dias,2022-05-01,Criação de Dashboards com métricas-chave do negócio;O que esperamos de você.Experiência mínima de 1 ano na área;Já ter trabalhado com crédito;,
109,Wipro Limited,Wipro Limited,"São Paulo, SP",,Postedhá 24 dias,2022-05-01,"Selenium, Python, Zephyr, Postman, Python Requests, BrowserStack.Experience in testing distributed Cloud based applications.",
110,Vagas de emprego: Shopee,Shopee,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Definir estratégias para o crescimento das vendas junto com o time comercial, acompanhando e analisando o desempenho dos diferentes espaços do site/app.",
111,Vagas de emprego: BairesDev,BairesDev,"Home office in São Paulo, SP",,Postedhá 15 dias,2022-05-01,"Being a Python Senior Developer in our Development Team is just like being a full-time problem solver.These developers will face numerous technical challenges,…",
112,Vagas de emprego: ST Engineering iDirect,ST Engineering iDirect,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Provide direct technical assistance (remotely and onsite) to STE iDirect’s customers.Identify, follow-up, resolve and document customer technical complaints…",
113,Credit Suisse,Credit Suisse,"São Paulo, SP",,Postedhá 16 dias,2022-05-01,"The intern will play an indispensable role supporting the Securities Desk, focused on Equities, De-rivatives and Structured Notes.",
114,Vagas de emprego: tembici.,tembici.,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Aqui você vai encontrar problemas que exigem soluções criativas a serem resolvidas - sério, temos vários que ainda não sabemos resolver.",
115,Yaman,Yaman,"São Paulo, SP",,Postedhá 3 dias,2022-05-01,Programação em linguagem Java + Python;Definir e entender requisitos técnicos e funcionais;Análise e desenvolvimento de serviços customizados com tecnologia…,
116,Vagas de emprego: Page Outsourcing Brasil,Page Outsourcing Brasil,"Hybrid remote in São Paulo, SP",,Postedhá 1 dia,2022-05-01,"2+ anos de experiência em análise, gestão de programas, consultoria, estratégia, gestão de operações ou gestão de pagamentos de fornecimentos;",
117,Schneider Electric,Schneider Electric,"Jurubatuba, SP",,Postedhá 26 dias,2022-05-01,Contato frequente com fornecedores de serviços públicos (utilities) para garantir o recebimento de faturas de serviços públicos para clientes da Schneider…,
118,Tech Mahindra,Tech Mahindra,"São Paulo, SP",,Postedhá 30 dias,2022-05-01,"Nós realmente acreditamos que a tecnologia torna isso possível, mas são as pessoas que fazem isso acontecer.Fortes conhecimento de Perl, Ruby, ou Python.",
