,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
131,Desenvolvedor WordPress,Agência Mestre,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Ter feito integrações com sistemas de automação de marketing (RD, LeadLovers);Noções de Design (UI, UX) para implementação correta dos layouts desenvolvidos…",https://www.br.indeed.com/rc/clk?jk=484822d76ea45b38&fccid=839a687ae385f482&vjs=3
132,Desenvolvedor WEB Front-end,00K e-bussines tools,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Desenvolvimento de front-end em Angular.JS e utilização de frameworks Bootstrap 3.0 ou +, UIKIT, CSS, SASS, LESS, UX, Mobile First.",https://www.br.indeed.com/rc/clk?jk=9dc564a6dcc058f5&fccid=b973911d9e671a3e&vjs=3
133,Analista Desenvolvedor(a) PHP,Visionnaire Tecnologia S/A,"Hybrid remote in São Paulo, SP",R$ 9.000 por mês,Postedhá 30+ dias,2022-05-06,Buscamos profissional com experiência em desenvolvimento PHP orientado à objetos.Experiência com desenvolvimento em PHP 7.4+;,https://www.br.indeed.com/rc/clk?jk=fd09441cbb5318bc&fccid=dd616958bd9ddc12&vjs=3
134,"Staff Engineer, Consumer",Bitso,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"You will collaborate closely with Front End, Back End, Mobile, Test engineers and Product Management teams.Identify areas for improvement, make recommendations…",https://www.br.indeed.com/rc/clk?jk=026f45fdbb454965&fccid=f3e32d76fe4bfa54&vjs=3
135,Magento Developer,DCKAP,"São Paulo, SP",R$ 60.000 - R$ 80.000 por ano,Postedhá 1 dia,2022-05-06,"We work closely with multi-functional product teams to improve our products, services, and our customer experience.Follow best practices in writing clean code.",https://www.br.indeed.com/company/DCKAP-Technologies/jobs/Magento-Developer-82b37f441132fccf?fccid=2679e712333b233d&vjs=3
136,Analista de Sistema Junior/Pleno - Desenvolvedor/Programador,Pró-Saúde Assoc. Beneficente de Assist. Social e...,"São Paulo, SP",R$ 5.000 - R$ 5.200 por mês,EmployerAtiva 1 dia atrás,2022-05-06,Estamos contratando profissionais com deficiência em todas as unidades Pró-Saúde.Será responsável por desenvolver melhorias nos sistemas/aplicações da…,https://www.br.indeed.com/company/Pr%C3%B3--Sa%C3%BAde-Assoc.-Beneficente-de-Assist.-Social-e-Hospitalar/jobs/Analista-Sistema-Junior-Pleno-5560a0703b1f0250?fccid=92c00061c1c9cfe5&vjs=3
137,Desenvolvedor(a) Web - VTEX IO Pleno,Agência FG,"Home office in São Paulo, SP",,Postedhá 10 dias,2022-05-06,Principais Atividades: Telas e funcionalidades; Integração de ferramentas externas na plataforma VTEX IO; Melhorias de e-commerce; Desenvolvimento de layouts…,https://www.br.indeed.com/rc/clk?jk=9da1a0fd6a256d8a&fccid=3558ac2cbb418d30&vjs=3
138,Consultor/a Senior - Consultoria em Tecnologia,EY,"São Paulo, SP",,PostedHoje,2022-05-06,"Conhecimento de programação (JAVA, C#, VBA, php ou outros);Buscamos um/a Consultor/a Sênior para atuar na área de Consultoria em Tecnologia voltados para Temas…",https://www.br.indeed.com/rc/clk?jk=4557aa8c191c5319&fccid=1544766d4c2915b0&vjs=3
139,Desenvolvedor PHP,People Talent,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Conhecimento em PHP ou outra linguagem orientada a objetos como Kotlin, Java ou .NET.Experiência em metodologias ágeis (Scrum e Kanban).",https://www.br.indeed.com/rc/clk?jk=6d1d749e989c6aa1&fccid=60f824d29fbc1891&vjs=3
140,Desenvolvedor PHP - ScriptCase 9,Page Personnel,"São Paulo, SP",,Postedhá 29 dias,2022-05-06,"PHP, ScriptCase 9, HTML, Java Script, CSS,.SQLServer, Oracle, SCRUM e Kanban.Nosso cliente é uma empresa líder em segurança eletrônica que está passando por…",https://www.br.indeed.com/rc/clk?jk=722b1fcf62c32252&fccid=e5ea1ff710ce39ca&vjs=3
141,Desenvolvedor Backend,,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Atuará na solução de problemas de diferentes naturezas através de programação.Será considerado diferencial: Conhecimentos prévios em programação (Python, PHP,…",https://www.br.indeed.com/rc/clk?jk=9695878a4f79248b&fccid=dd616958bd9ddc12&vjs=3
142,Analista de Produção de TI Senior,Vivo Digital,"São Paulo, SP",,Postedhá 18 dias,2022-05-06,"Familiaridade de programação shell script;Familiaridade das linguagens SQL e PL/SQL;Conhecimento em desenvolvimento (JAVA, C#, POWER BI, PHP, PYTHON, HTML,…",https://www.br.indeed.com/rc/clk?jk=28ebf36e10f1f2f8&fccid=af82f506ed7ea7e1&vjs=3
143,Desenvolvedor Fullstack Pleno ou Sênior,Taking,"São Paulo, SP",,Postedhá 17 dias,2022-05-06,Experiência com PHP e Javascript;Experiência com versionamento via Git;Conhecimentos com Desenvolvimento Híbrido Mobile;,https://www.br.indeed.com/rc/clk?jk=ef1acedcfccd30d8&fccid=54d424b6e8c4e1e7&vjs=3
144,FULLSTACK REACT/PHP SR - SAO PAULO,OEmprego,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Experiência com experiência em desenvolvimento web front-end, com experiência em JavaScript (jQuery e ReactJS) e em HTML5, CSS3/SASS.",https://www.br.indeed.com/rc/clk?jk=cb09c8a8ce610a47&fccid=919b31f0a22ef58e&vjs=3
145,Desenvolvedor (a) Fullstack Pleno,Taking,"Home office in Osasco, SP",,Postedhá 22 dias,2022-05-06,"Conhecimentos em PHP, CSS#, HTML5, SEO e UX (não obrigatório).",https://www.br.indeed.com/rc/clk?jk=c397c0fc1b58ca2f&fccid=54d424b6e8c4e1e7&vjs=3
146,SRE: Security Automation Engineer,IBM,"São Paulo, SP",,Postedhá 3 dias,2022-05-06,To think along with clients and sell.You will be a member of the SRE network/security team supporting AI Apps objectives by consistently delivering connected…,https://www.br.indeed.com/rc/clk?jk=9082ff6efccd7a9c&fccid=de71a49b535e21cb&vjs=3
147,Gerente de TI,Mercado Bitcoin,"Home office in São Paulo, SP",,Postedhá 16 dias,2022-05-06,"Liderar o desenho, arquitetura, engenharia e suporte de Soluções Digitais (BI, CRM, CMS, Web Sites e Portais) numa variedade de projetos estruturantes que tocam…",https://www.br.indeed.com/rc/clk?jk=2d1cfe6c704d04c0&fccid=9283371e84986535&vjs=3
148,Integration Support Engineer LATAM,WhatsApp,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,WhatsApp is looking for a full-time team member to join our Enterprise Support Operations team.We count on Integration Support Engineers to provide technical…,https://www.br.indeed.com/rc/clk?jk=dc29a29d2f6c79c6&fccid=ba07516c418dda52&vjs=3
149,Analista de Operações Comerciais PL,Webedia Brasil,"São Paulo, SP",,Postedhá 17 dias,2022-05-06,Conhecimento/experiência em servidores de anúncio como AdManager;O que pode te diferenciar.Conhecimentos de linguagens de programação como Javascript e PHP;,https://www.br.indeed.com/rc/clk?jk=bcbbdab7fa5a503b&fccid=fc6efeb30d04cfe0&vjs=3
